file_id	id	entity	start_offset	end_offset	note	CUI	CODE	sentence	STR	type	part	SAB
0211-699501013956	T49	albuminuria	1633	1644	C0001925	C0001925	R80.9	La albuminuria se negativizó ( < 30 mg/día) en 47 pacientes.	Proteinuria NEOM	abstracts	dev	SNOMEDCT2ICD10_SPA
0211-699501013956	T57	albuminuria	1967	1978	C0001925	C0001925	R80.9	En estos pacientes, el trandolapril, en monoterapia o asociado a verapamil, es una alternativa terapéutica que reduce significativamente la albuminuria, controla aceptablemente la PA y facilita su control metabólico.	Proteinuria NEOM	abstracts	dev	SNOMEDCT2ICD10_SPA
0211-699503016284	T19	hipocalcemia	599	611	C0020598	C0020598	E83.5	Métodos: En los pacientes del programa de diálisis peritoneal que recibían hidróxido de aluminio o que recibían sales de calcio sin tener tendencia a la hipocalcemia, la hiperfosforemia se trató con sevelamer. Catorce pacientes completaron 12 meses de tratamiento.	Trastornos del metabolismo del calcio	abstracts	dev	ICD10_WIKI
0211-699505018925	T12	glomerulonefritis crónica	308	333	C0152451	C0152451	N03.9	Este estudio clínico aleatorizado, prospectivo, de dos brazos, evaluó el efecto antiproteinúrico y nefroprotector, así como la seguridad del tratamiento con un antagonista de los receptores de angiotensina II (irbesartán) en pacientes con glomerulonefritis crónica (GNC), comparándolo con inhibidores del enzima convertidor de angiotensina (IECA).	Síndrome nefrítico crónico con cambios morfológicos no especificados	abstracts	dev	SNOMEDCT2ICD10_SPA
0211-699505018925	T18	proteinuria	490	501	C0033687	C0033687	R80.9	Un total de 50 pacientes con GNC diagnosticada mediante biopsia renal y proteinuria en orina de 24 horas mayor a 1 g fueron incluidos.	Proteinuria NEOM	abstracts	dev	ICD10CM_WIKI
0211-699505018925	T23	proteinuria	750	761	C0033687	C0033687	R80.9	En los dos grupos encontramos una reducción significativa (p < 0,001) de la proteinuria (49,2% en el grupo 1 y 44,8% en el grupo 2) desde el tercer mes, que se confirma a los 12 y 24 meses de seguimiento (58,1% y 62,7% en el grupo 1, y 56,8% y 55,4% en el grupo 2, respectivamente), aunque no se observaron diferencias significativas entre los dos grupos.	Proteinuria NEOM	abstracts	dev	ICD10CM_WIKI
0211-699505018925	T29	tos	1421	1424	C0010200	C0010200	R05	En ninguno de los dos grupos encontramos un descenso significativo del filtrado glomerular, sin embargo, éste fue mayor en el grupo tratado con EICA (2,98 ± 7,77 vs 1,64 ± 6,84 ml/min/año) aunque sin diferencia significativa respecto a irbesartán, mientras que tres pacientes inicialmente tratados con IECA mostraron intolerancia (tos).	Tos	abstracts	dev	ICD10CM_SPA
0211-699505018925	T32	glomerulonefritis crónica	1562	1587	C0152451	C0152451	N03.9	Como conclusión, en nuestro estudio irbesartán mostró un efecto antiproteinúrico y nefroprotector similar a los IECA en pacientes con glomerulonefritis crónica, siendo además segura su administración.	Síndrome nefrítico crónico con cambios morfológicos no especificados	abstracts	dev	SNOMEDCT2ICD10_SPA
S0009-741115002352	T34	punción	1116	1123	C0034115	C0034115	I05.0	El dolor en el sitio de punción resultó la complicación más frecuente (67.2%) y la más grave fue el hematoma hepático subcapsular con 2 casos (1.6%), sin diferencias con la técnica empleada en la biopsia para la aparición de complicaciones en ambos grupos.	Estenosis mitral reumática	abstracts	dev	SNOMEDCT2ICD10_SPA
S0025-76802004000300002	T7	bronquiolitis	391	404	C0006271	C0006271	J21.9	Se realizó un ensayo clínico controlado aleatorizado, donde se incluyeron dieciseis pacientes con bronquiolitis que fueron tratados dos veces al día con fisioterapia torácica y se compararon con dieciséis pacientes control, con la misma patología, quienes recibían sólo aspiración nasofaríngea.	Bronquiolitis aguda, no especificada	abstracts	dev	SNOMEDCT2ICD10_SPA
S0025-76802004000300002	T12	dificultad respiratoria	657	680	C0013404, C0476273	C0013404	P28.89	El grupo de tratamiento presentó un promedio en el score clínico de dificultad respiratoria al ingreso de 5.56 (± 1.96) y al alta 3.25 (± 1.27).	Otras afecciones respiratorias especificadas del recién nacido	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000500003	T10	parto por cesárea	204	221	C1384674	C1384674	O34.219	JUSTIFICATIVA Y OBJETIVOS: El Misoprostol reduce el sangramiento uterino después del parto por cesárea sin efectos perjudiciales para la madre o el bebé. Nuestro objetivo fue evaluar los efectos del misoprostol preoperatorio en el sangramiento materno y en el tono uterino, y la necesidad de ocitocina después de la cesárea bajo anestesia con isoflurano.	Atención materna por cicatriz de tipo no especificado de cesárea anterior	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000500003	T14	sangramiento	350	362	C0019080	C0019080	R58	JUSTIFICATIVA Y OBJETIVOS: El Misoprostol reduce el sangramiento uterino después del parto por cesárea sin efectos perjudiciales para la madre o el bebé. Nuestro objetivo fue evaluar los efectos del misoprostol preoperatorio en el sangramiento materno y en el tono uterino, y la necesidad de ocitocina después de la cesárea bajo anestesia con isoflurano.	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942012000500003	T40	temblores	1473	1482	C0040822, C0234369	C0040822	R25.1	RESULTADOS: Después de la inducción, las pacientes que recibieron misoprostol sublingual tuvieron una pérdida sanguínea perioperatoria (202 ± 383,1 vs 708 ± 204,3 mL, p < 0,001), necesidad de ocitocina (p < 0,001), niveles más elevados de hematocrito (p < 0,001) y tonouterino (p < 0,02) menos significativos. La incidencia de temblores fue mayor en el grupo misoprostol (p = 0,04). No se registraron diferencias entre los dos grupos en cuanto a los índices de Apgar, náusea y vómito, trastornos gastrointestinales y fiebre.	Temblor no especificado	abstracts	dev	ICD10_WIKI
S0034-70942012000500003	T42	náusea y vómito	1614	1629	C0027498	C0027498	R11	RESULTADOS: Después de la inducción, las pacientes que recibieron misoprostol sublingual tuvieron una pérdida sanguínea perioperatoria (202 ± 383,1 vs 708 ± 204,3 mL, p < 0,001), necesidad de ocitocina (p < 0,001), niveles más elevados de hematocrito (p < 0,001) y tonouterino (p < 0,02) menos significativos. La incidencia de temblores fue mayor en el grupo misoprostol (p = 0,04). No se registraron diferencias entre los dos grupos en cuanto a los índices de Apgar, náusea y vómito, trastornos gastrointestinales y fiebre.	Náusea y vómito	abstracts	dev	ICD10CM_SPA
S0034-70942012000500003	T43	trastornos gastrointestinales	1631	1660	C0017178	C0017178	K52.9	RESULTADOS: Después de la inducción, las pacientes que recibieron misoprostol sublingual tuvieron una pérdida sanguínea perioperatoria (202 ± 383,1 vs 708 ± 204,3 mL, p < 0,001), necesidad de ocitocina (p < 0,001), niveles más elevados de hematocrito (p < 0,001) y tonouterino (p < 0,02) menos significativos. La incidencia de temblores fue mayor en el grupo misoprostol (p = 0,04). No se registraron diferencias entre los dos grupos en cuanto a los índices de Apgar, náusea y vómito, trastornos gastrointestinales y fiebre.	Gastroenteritis y colitis no infecciosas, no especificadas	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000500003	T44	fiebre	1663	1669	C0015967	C0015967	R50.9	RESULTADOS: Después de la inducción, las pacientes que recibieron misoprostol sublingual tuvieron una pérdida sanguínea perioperatoria (202 ± 383,1 vs 708 ± 204,3 mL, p < 0,001), necesidad de ocitocina (p < 0,001), niveles más elevados de hematocrito (p < 0,001) y tonouterino (p < 0,02) menos significativos. La incidencia de temblores fue mayor en el grupo misoprostol (p = 0,04). No se registraron diferencias entre los dos grupos en cuanto a los índices de Apgar, náusea y vómito, trastornos gastrointestinales y fiebre.	Fiebre, no especificada	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000500003	T47	sangramiento	1788	1800	C0019080	C0019080	R58	CONCLUSIONES: La administración preoperatoria de misoprostol sublingual (400 µg) es segura y eficaz para atenuar el sangramiento materno y el efecto en el tono uterino de la anestesia con isoflurano en el parto por cesárea.	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942012000500003	T51	parto por cesárea	1877	1894	C1384674	C1384674	O34.219	CONCLUSIONES: La administración preoperatoria de misoprostol sublingual (400 µg) es segura y eficaz para atenuar el sangramiento materno y el efecto en el tono uterino de la anestesia con isoflurano en el parto por cesárea.	Atención materna por cicatriz de tipo no especificado de cesárea anterior	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000600006	T15	dolor postoperatorio	472	492	C0030201	C0030201	G89.18	JUSTIFICATIVA Y OBJETIVOS: Un número considerable de pacientes relata sentir dolor después de la recolección del injerto de la cresta ilíaca anterior. Este estudio evaluó la eficacia de la aplicación de bupivacaina empapada en una esponja de gelatina absorbible (Gelfoam®) en la región donadora del hueso y el uso parenteral de opioides en el control del dolor postoperatorio.	Otros tipos de dolor agudo posprocedimiento	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000600006	T37	comorbilidades	1477	1491	C1275743	C1275743	Z78.9	RESULTADOS: Los grupos eran similares en edad, sexo y comorbilidades. No hubo diferencia significativa entre los grupos en los puntajes de la EVA. Las dosis de narcótico fueron significativamente menores en el grupo B en los tiempos de 24 y 48 horas (p < 0,05).	Otra estado de salud especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000600006	T47	dolor	194	199	C0030193, C0234238	C0030193	R52	JUSTIFICATIVA Y OBJETIVOS: Un número considerable de pacientes relata sentir dolor después de la recolección del injerto de la cresta ilíaca anterior. Este estudio evaluó la eficacia de la aplicación de bupivacaina empapada en una esponja de gelatina absorbible (Gelfoam®) en la región donadora del hueso y el uso parenteral de opioides en el control del dolor postoperatorio.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000600006	T54	dolor	1053	1058	C0030193, C0234238	C0030193	R52	MÉTODO: Realizamos un estudio prospectivo, doble ciego, aleatorio y controlado por placebo, comparando la infiltración en el período intraoperatorio de 20 mL de bupivacaina (tratamiento, grupo B) versus suero fisiológico (placebo) con Gelfoam empapado dentro de la región de la recolección ósea de la cresta ilíaca, en pacientes sometidos a la cirugía electiva de la columna cervical. En el período postoperatorio, la administración de clorhidrato de hidromorfona (unidad de recuperación y analgesia controlada por el paciente) se estandarizó. Un puntaje de dolor con base en la escala visual analógica (EVA) y un puntaje de 0 a 10 fueron usados para evaluar la intensidad del dolor asociada con la región donadora. Los puntajes de dolor y el uso/frecuencia de narcóticos se registraron 24 y 48 horas después de la operación. Los médicos, pacientes, el equipo de enfermería y los estadísticos no conocían el tratamiento usado.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000600006	T55	dolor	1172	1177	C0030193, C0234238	C0030193	R52	MÉTODO: Realizamos un estudio prospectivo, doble ciego, aleatorio y controlado por placebo, comparando la infiltración en el período intraoperatorio de 20 mL de bupivacaina (tratamiento, grupo B) versus suero fisiológico (placebo) con Gelfoam empapado dentro de la región de la recolección ósea de la cresta ilíaca, en pacientes sometidos a la cirugía electiva de la columna cervical. En el período postoperatorio, la administración de clorhidrato de hidromorfona (unidad de recuperación y analgesia controlada por el paciente) se estandarizó. Un puntaje de dolor con base en la escala visual analógica (EVA) y un puntaje de 0 a 10 fueron usados para evaluar la intensidad del dolor asociada con la región donadora. Los puntajes de dolor y el uso/frecuencia de narcóticos se registraron 24 y 48 horas después de la operación. Los médicos, pacientes, el equipo de enfermería y los estadísticos no conocían el tratamiento usado.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942012000600006	T56	dolor	1227	1232	C0030193, C0234238	C0030193	R52	MÉTODO: Realizamos un estudio prospectivo, doble ciego, aleatorio y controlado por placebo, comparando la infiltración en el período intraoperatorio de 20 mL de bupivacaina (tratamiento, grupo B) versus suero fisiológico (placebo) con Gelfoam empapado dentro de la región de la recolección ósea de la cresta ilíaca, en pacientes sometidos a la cirugía electiva de la columna cervical. En el período postoperatorio, la administración de clorhidrato de hidromorfona (unidad de recuperación y analgesia controlada por el paciente) se estandarizó. Un puntaje de dolor con base en la escala visual analógica (EVA) y un puntaje de 0 a 10 fueron usados para evaluar la intensidad del dolor asociada con la región donadora. Los puntajes de dolor y el uso/frecuencia de narcóticos se registraron 24 y 48 horas después de la operación. Los médicos, pacientes, el equipo de enfermería y los estadísticos no conocían el tratamiento usado.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000200073	T15	enfermedad renal crónica	674	698	C0403447, C1561643	C0403447	N18.9	enfermedad renal crónica, procedimientos de urgencia, reintervenciones, contraindicación para la raquianestesia, fracción de eyección del ventrículo izquierdo inferior al 40%, índice de masa corporal por encima de 32 kg/m2 y uso de nitroglicerina.	Enfermedad renal crónica, no especificada	abstracts	dev	ICD10CM_WIKI
S0034-70942014000300145	T38	dolor	132	137	C0030193, C0234238	C0030193	R52	Estudio aleatorizado controlado comparando los efectos de la anestesia con propofol, isoflurano, desflurano y sevoflurano sobre el dolor poscolecistectomía videolaparoscópica	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300145	T39	dolor	207	212	C0030193, C0234238	C0030193	R52	el dolor es el principal motivo de queja y también la principal razón de una prolongada recuperación tras una colecistectomía laparoscópica. Nuestra hipótesis fue que los pacientes sometidos a colecistectomía laparoscópica tenían menos dolor 4 h después de la cirugía cuando recibían propofol para la anestesia en comparación con isoflurano, desflurano o sevoflurano.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300145	T40	dolor	440	445	C0030193, C0234238	C0030193	R52	el dolor es el principal motivo de queja y también la principal razón de una prolongada recuperación tras una colecistectomía laparoscópica. Nuestra hipótesis fue que los pacientes sometidos a colecistectomía laparoscópica tenían menos dolor 4 h después de la cirugía cuando recibían propofol para la anestesia en comparación con isoflurano, desflurano o sevoflurano.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300145	T44	dolor	836	841	C0030193, C0234238	C0030193	R52	en este estudio prospectivo y aleatorizado, 80 pacientes programados para colecistectomía laparoscópica fueron designados para recibir propofol, isoflurano, desflurano o sevoflurano para el mantenimiento de la anestesia. Nuestro primer resultado fue el dolor medido en escala analógica numérica 4 h después de la cirugía. También registramos el uso intraoperatorio de opiáceos y el consumo de analgésicos durante las primeras 24 h del postoperatorio.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300145	T47	dolor	1124	1129	C0030193, C0234238	C0030193	R52	no hubo diferencias estadísticamente significativas en las puntuaciones del dolor 4 h después de la cirugía (p = 0,72). Tampoco hubo diferencias estadísticamente significativas en las puntuaciones del dolor entre los grupos de tratamiento durante las 24 h del postoperatorio (p = 0,45). El uso intraoperatorio de fentanilo y morfina no varió significativamente entre los grupos (p = 0,21 y 0,24 respectivamente). No hubo una diferencia en el consumo total de morfina e hidrocodona/APAP durante las primeras 24 h (p = 0,61 y 0,53 respectivamente).	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300145	T49	dolor	1249	1254	C0030193, C0234238	C0030193	R52	no hubo diferencias estadísticamente significativas en las puntuaciones del dolor 4 h después de la cirugía (p = 0,72). Tampoco hubo diferencias estadísticamente significativas en las puntuaciones del dolor entre los grupos de tratamiento durante las 24 h del postoperatorio (p = 0,45). El uso intraoperatorio de fentanilo y morfina no varió significativamente entre los grupos (p = 0,21 y 0,24 respectivamente). No hubo una diferencia en el consumo total de morfina e hidrocodona/APAP durante las primeras 24 h (p = 0,61 y 0,53 respectivamente).	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300145	T51	dolor	1711	1716	C0030193, C0234238	C0030193	R52	los pacientes que recibieron propofol para el mantenimiento de la anestesia general no tenían menos dolor poscolecistectomía videolaparoscópica en comparación con los que recibieron isoflurano, desflurano o sevoflurano.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300159	T35	síntomas neurológicos	1774	1795	C0235031	C0235031	R29.90	la resolución del bloqueo raquídeo fue más rápida en el grupo L que en el grupo C (162,43 ± 39,4 min vs. 219,73 ± 37,3 min [p = 0,000]). El tiempo en la sala de reanimación postanestesia fue menor en el grupo L que en el grupo C (109 ± 49,9 min vs. 148 ± 56,8 min [p = 0,036]). No hubo diferencia entre los grupos con relación a la incidencia de eventos adversos y tratamientos. Los grupos también fueron similares en lo que respecta a las complicaciones. No se observó en ningún grupo ni cefalea pospunción dural ni síntomas neurológicos transitorios.	Síntomas y signos no especificados que afectan al sistema nervioso	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300169	T35	dolor	26	31	C0030193, C0234238	C0030193	R52	El ondansetrón reduce el dolor de la inyección de etomidato: estudio aleatorizado controlado	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300169	T37	dolor	129	134	C0030193, C0234238	C0030193	R52	el etomidato causa dolor cuando es administrado por vía intravenosa. En este estudio buscamos determinar si el pretratamiento con ondansetrón reduce el dolor causado por la inyección de etomidato.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300169	T38	dolor	262	267	C0030193, C0234238	C0030193	R52	el etomidato causa dolor cuando es administrado por vía intravenosa. En este estudio buscamos determinar si el pretratamiento con ondansetrón reduce el dolor causado por la inyección de etomidato.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300169	T45	dolor	1249	1254	C0030193, C0234238	C0030193	R52	fueron incluidos en este estudio clínico aleatorizado, doble ciego y controlado por placebo, 20 pacientes de ambos sexos con edades entre 18 y 50 años, estado físico ASA I o II, candidatos a varios procedimientos quirúrgicos electivos, que exigían más de un acceso intravenoso. Al entrar en quirófano, se insertaron dos cánulas de calibre 22 en las venas del dorso de ambas manos. Después de la infusión de 100 mL de solución salina normal en ambas líneas de acceso intravenoso; usando un torniquete elástico, el drenaje venoso de las manos se cerró hasta la mitad del brazo. Los pacientes recibieron 8 mg (2 mL) de ondansetrón en una de las manos y 2 mL de solución salina al 0,9% en la otra mano al mismo tiempo. El torniquete fue retirado después de 1 min y 2 mg (1 mL) de etomidato se administró en la misma proporción simultáneamente en las líneas intravenosas. Se les solicitó a los pacientes que hiciesen una puntuación del dolor en cada mano, basándose en una escala verbal analógica (EVA).	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300169	T46	dolor	1553	1558	C0030193, C0234238	C0030193	R52	evaluamos a un total de 20 pacientes (un 55% hombres y un 45% mujeres). La media de edad y del peso de los participantes fue de 37,5 ± 13,1 años y de 67,7 ±7,3/kg, respectivamente. El promedio de la puntuación EVA para el dolor causado por la inyección de etomidato después de la preadministración de ondansetrón iv fue de 1,5 ± 1,2, siendo menor en comparación con la preadministración de placebo (3,2 ± 2,8; p < 0,05).	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000300169	T51	dolor	1859	1864	C0030193, C0234238	C0030193	R52	este estudio demuestra que el pretratamiento con ondansetrón iv reduce significativamente el dolor causado por la inyección de etomidato.	Dolor, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000400253	T4	sangrado	82	90	C0019080	C0019080	R58	Estudio aleatorizado y doble ciego de profilaxis con fibrinógeno para reducir el sangrado en cirugía cardíaca	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942014000400253	T6	hemorragia	143	153	C0019080	C0019080	R58	la hemorragia en el período postoperatorio es de gran importancia clínica y puede contribuir al aumento de la morbimortalidad en pacientes sometidos a cirugía de revascularización del miocardio. En este estudio prospectivo, aleatorizado y doble ciego, evaluamos el efecto de la administración profiláctica del concentrado de fibrinógeno sobre el sangrado después de la cirugía de revascularización del miocardio.	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942014000400253	T13	sangrado	486	494	C0019080	C0019080	R58	la hemorragia en el período postoperatorio es de gran importancia clínica y puede contribuir al aumento de la morbimortalidad en pacientes sometidos a cirugía de revascularización del miocardio. En este estudio prospectivo, aleatorizado y doble ciego, evaluamos el efecto de la administración profiláctica del concentrado de fibrinógeno sobre el sangrado después de la cirugía de revascularización del miocardio.	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942014000400253	T23	sangrado	870	878	C0019080	C0019080	R58	en total, 60 pacientes sometidos a cirugía de revascularización del miocardio fueron aleatoriamente divididos en 2 grupos. Los pacientes del grupo fibrinógeno recibieron 1 g de concentrado de fibrinógeno 30 min antes de la operación, mientras que los del grupo control recibieron placebo. Los volúmenes de sangrado en el postoperatorio, tiempo de protrombina, tiempo de tromboplastina parcial, INR, hemoglobina y hemoderivados transfundidos en ambos grupos fueron registrados. En todo los pacientes se usó un protocolo de conducta riguroso para la transfusión de hematíes.	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942014000400253	T36	sangrado	1363	1371	C0019080	C0019080	R58	no hubo diferencias significativas entre las infusiones de concentrados de hematíes en los grupos estudiados (1 ± 1,4 en el grupo fibrinógeno y 1,3 ± 1,1 en el grupo control). El grupo fibrinógeno presentó menos sangrado en el postoperatorio (477 ± 143 versus 703 ± 179, p = 0,0001). Quince pacientes del grupo fibrinógeno y 21 del grupo control necesitaron infusión de concentrado de hematíes en el postoperatorio (p = 0,094). Ningún evento trombótico fue observado durante 72 h después de la cirugía.	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942014000400253	T44	sangrado	1708	1716	C0019080	C0019080	R58	la profilaxis con fibrinógeno reduce el sangrado en el período postoperatorio de pacientes sometidos a revascularización del miocardio.	Hemorragia, no clasificada bajo otro concepto	abstracts	dev	ICD10_WIKI
S0034-70942014000500343	T21	isquemia cardíaca	964	981	C0151744	C0151744	I21.9	Este estudio aleatorizado, controlado y doble ciego fue llevado a cabo en un hospital terciario entre marzo y junio de 2010. Sesenta pacientes programados para someterse a la septorrinoplastia fueron aleatoriamente divididos en 2 grupos. El historial de alergia a los medicamentos usados en el estudio, isquemia cardíaca, bloqueo cardíaco, asma bronquial, insuficiencia hepática o renal, obesidad e historial de uso crónico de analgésicos o ß-bloqueantes, fueron los criterios de exclusión del estudio. Treinta pacientes recibieron esmolol y remifentanilo (grupo esmolol) y 30 pacientes recibieron suero fisiológico y remifentanilo (grupo control), vía perfusión intravenosa durante el procedimiento. La presión arterial media, frecuencia cardíaca y valores del índice biespectral fueron registrados cada 10 min. Se registraron el consumo total de remifentanilo, puntuaciones de la escala visual analógica, tiempo para la primera analgesia y el consumo total de morfina en el postoperatorio.	Infarto agudo de miocardio, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
S0034-70942014000500343	T22	bloqueo cardíaco	983	999	C0018794	C0018794	I45.9	Este estudio aleatorizado, controlado y doble ciego fue llevado a cabo en un hospital terciario entre marzo y junio de 2010. Sesenta pacientes programados para someterse a la septorrinoplastia fueron aleatoriamente divididos en 2 grupos. El historial de alergia a los medicamentos usados en el estudio, isquemia cardíaca, bloqueo cardíaco, asma bronquial, insuficiencia hepática o renal, obesidad e historial de uso crónico de analgésicos o ß-bloqueantes, fueron los criterios de exclusión del estudio. Treinta pacientes recibieron esmolol y remifentanilo (grupo esmolol) y 30 pacientes recibieron suero fisiológico y remifentanilo (grupo control), vía perfusión intravenosa durante el procedimiento. La presión arterial media, frecuencia cardíaca y valores del índice biespectral fueron registrados cada 10 min. Se registraron el consumo total de remifentanilo, puntuaciones de la escala visual analógica, tiempo para la primera analgesia y el consumo total de morfina en el postoperatorio.	Trastorno de conducción, no especificado	abstracts	dev	SNOMEDCT2ICD10_SPA
