file_id	entity	cui	start	end	sentence	CUI	STR	CODE	SAB	is_icd
ES100030	linfedema	C0024236	335	344	Simultáneamente se apreciaba a la exploración linfedema hipogástrico, de la piel peneana y del escroto.	C0024236	Linfedema, no clasificado bajo otro concepto	I89.0	SNOMEDCT2ICD10_SPA	True
ES100030	tumor	C0027651	794	799	A gran aumento se observa que el tumor infiltrante es un adenocarcinoma moderadamente diferenciado, de alto grado y con elevado índice mitótico.	C0027651	Neoplasias de comportamiento no especificado	D49	ICD10CM_SPA	True
ES100042	hipertensión arterial	C0020538	65	86	Presentamos el caso de una mujer de 70 años, con antecedentes de hipertensión arterial, hernia de hiato, estreñimiento e histerectomía que consultó por síndrome miccional irritativo desde hacía 8 meses, consistente en disuria y polaquiuria intensas con urgencias miccionales ocasionales sin otra sintomatología urológica añadida.	C0020538	Hipertensión esencial (primaria)	I10	ICD10CM_SPA	True
ES100042	hernia de hiato	C3489393	88	103	Presentamos el caso de una mujer de 70 años, con antecedentes de hipertensión arterial, hernia de hiato, estreñimiento e histerectomía que consultó por síndrome miccional irritativo desde hacía 8 meses, consistente en disuria y polaquiuria intensas con urgencias miccionales ocasionales sin otra sintomatología urológica añadida.	C3489393	Hernia diafragmática sin obstrucción ni gangrena	K44.9	SNOMEDCT2ICD10_SPA	True
ES100042	estreñimiento	C0009806	105	118	Presentamos el caso de una mujer de 70 años, con antecedentes de hipertensión arterial, hernia de hiato, estreñimiento e histerectomía que consultó por síndrome miccional irritativo desde hacía 8 meses, consistente en disuria y polaquiuria intensas con urgencias miccionales ocasionales sin otra sintomatología urológica añadida.	C0009806	Estreñimiento, no especificado	K59.00	ICD10CM_SPA	True
ES100042	disuria	C0013428	218	225	Presentamos el caso de una mujer de 70 años, con antecedentes de hipertensión arterial, hernia de hiato, estreñimiento e histerectomía que consultó por síndrome miccional irritativo desde hacía 8 meses, consistente en disuria y polaquiuria intensas con urgencias miccionales ocasionales sin otra sintomatología urológica añadida.	C0013428	Dolor asociado a la micción	R30	ICD10CM_SPA	True
ES100042	polaquiuria	C0042023	228	239	Presentamos el caso de una mujer de 70 años, con antecedentes de hipertensión arterial, hernia de hiato, estreñimiento e histerectomía que consultó por síndrome miccional irritativo desde hacía 8 meses, consistente en disuria y polaquiuria intensas con urgencias miccionales ocasionales sin otra sintomatología urológica añadida.	C0042023	Polaquiuria	R35.0	ICD10CM_SPA	True
ES100042	urgencias miccionales	C0085606	253	274	Presentamos el caso de una mujer de 70 años, con antecedentes de hipertensión arterial, hernia de hiato, estreñimiento e histerectomía que consultó por síndrome miccional irritativo desde hacía 8 meses, consistente en disuria y polaquiuria intensas con urgencias miccionales ocasionales sin otra sintomatología urológica añadida.	C0085606	Urgencia miccional	R39.15	ICD10CM_SPA	True
ES100042	infección del tracto urinario	C0042029	385	414	En los últimos 6 meses había presentado 3 episodios de infección del tracto urinario bajo con urocultivos positivos a E. coli tratados por su médico de cabecera.	C0042029	Infección de tracto urinario, localización no especificada	N39.0	ICD10CM_SPA	True
ES100042	leucocituria	C0555120	617	629	El estudio inicial incluyó bioquímica sanguínea que fue normal, orina y estudio de sedimento de orina que mostraron intensa leucocituria, urocultivo que fue de nuevo positivo a E.coli y una citología urinaria por micción espontánea cuyo resultado fue células uroteliales sin atipias y abundantes leucocitos polimorfonucleares neutrófilos.	C0555120	Piuria	R82.81	SNOMEDCT2ICD10_SPA	True
ES100042	disuria	C0013428	1012	1019	A los 3 meses la paciente fue revisada en consulta externa, persistiendo la sintomatología basada en disuria y polaquiuria, si bien había mejorado bastante de las urgencias con el anticolinérgico, e incluso días antes dela revisión había tenido nuevo episodio de infección urinaria.	C0013428	Dolor asociado a la micción	R30	ICD10CM_SPA	True
ES100042	polaquiuria	C0042023	1022	1033	A los 3 meses la paciente fue revisada en consulta externa, persistiendo la sintomatología basada en disuria y polaquiuria, si bien había mejorado bastante de las urgencias con el anticolinérgico, e incluso días antes dela revisión había tenido nuevo episodio de infección urinaria.	C0042023	Polaquiuria	R35.0	ICD10CM_SPA	True
ES100042	urgencias	C0085606	1074	1083	A los 3 meses la paciente fue revisada en consulta externa, persistiendo la sintomatología basada en disuria y polaquiuria, si bien había mejorado bastante de las urgencias con el anticolinérgico, e incluso días antes dela revisión había tenido nuevo episodio de infección urinaria.	C0085606	Urgencia miccional	R39.15	ICD10CM_SPA	True
ES100042	infección urinaria	C0042029	1174	1192	A los 3 meses la paciente fue revisada en consulta externa, persistiendo la sintomatología basada en disuria y polaquiuria, si bien había mejorado bastante de las urgencias con el anticolinérgico, e incluso días antes dela revisión había tenido nuevo episodio de infección urinaria.	C0042029	Infección de tracto urinario, localización no especificada	N39.0	ICD10CM_SPA	True
ES100042	tumor urotelial del tracto urinario	C1644719	1316	1351	Ante la escasa respuesta encontrada, se inició un estudio más avanzado, solicitando urografía intravenosa para descartar tumor urotelial del tracto urinario superior, la cual fue rigurosamente normal, y ecografía urológica que también fue normal, por lo que se realizó cistoscopia en consulta, hallando lesiones nodulares, sobreelevadas, de aspecto sólido, discretamente enrojecidas, con áreas adyacentes de edema, localizadas en trígono y parte inferior de ambas caras laterales.	C1644719	Neoplasia maligna de órgano urinario, no especificado	C68.9	SNOMEDCT2ICD10_SPA	True
ES100042	edema	C0013604	1603	1608	Ante la escasa respuesta encontrada, se inició un estudio más avanzado, solicitando urografía intravenosa para descartar tumor urotelial del tracto urinario superior, la cual fue rigurosamente normal, y ecografía urológica que también fue normal, por lo que se realizó cistoscopia en consulta, hallando lesiones nodulares, sobreelevadas, de aspecto sólido, discretamente enrojecidas, con áreas adyacentes de edema, localizadas en trígono y parte inferior de ambas caras laterales.	C0013604	Edema, no especificado	R60.9	ICD10CM_SPA	True
ES100042	TBC	C0041296	1760	1763	Debido a este hallazgo, a pesar de que la paciente no tenía factores de riesgo para TBC y la urografía fue rigurosamente normal, se realizó baciloscopia en orina y cultivo Lowenstein-Jensen de 6 muestras de la primera orina de la mañana en días consecutivos, ya que las lesiones vesicales macroscópicamente podrían tratarse de tuberculomas, siendo estos estudios negativos para bacilo de Koch, por lo que se realizó resección endoscópica de las lesiones descritas bajo anestesia.	C0041296	TUBERCULOSIS (A15-A19)	A15-A19	ICD10CM_SPA	True
ES100042	lesiones vesicales	C0577180	1946	1964	Debido a este hallazgo, a pesar de que la paciente no tenía factores de riesgo para TBC y la urografía fue rigurosamente normal, se realizó baciloscopia en orina y cultivo Lowenstein-Jensen de 6 muestras de la primera orina de la mañana en días consecutivos, ya que las lesiones vesicales macroscópicamente podrían tratarse de tuberculomas, siendo estos estudios negativos para bacilo de Koch, por lo que se realizó resección endoscópica de las lesiones descritas bajo anestesia.	C0577180	Trastorno de vejiga, no especificado	N32.9	SNOMEDCT2ICD10_SPA	True
ES100042	tuberculomas	C0041295	2003	2015	Debido a este hallazgo, a pesar de que la paciente no tenía factores de riesgo para TBC y la urografía fue rigurosamente normal, se realizó baciloscopia en orina y cultivo Lowenstein-Jensen de 6 muestras de la primera orina de la mañana en días consecutivos, ya que las lesiones vesicales macroscópicamente podrían tratarse de tuberculomas, siendo estos estudios negativos para bacilo de Koch, por lo que se realizó resección endoscópica de las lesiones descritas bajo anestesia.	C0041295	Tuberculosis de otras localizaciones	A18.89	SNOMEDCT2ICD10_SPA	True
ES100050	tumoración	C0577559	75	85	Paciente de 19 años de edad, sin antecedentes de interés, que consulta por tumoración ligeramente dolorosa en el testículo derecho, de unos 8 meses de evolución, encontrándose en la exploración clínica un aumento testicular con zonas nodulares.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100050	dolorosa	C0030193	98	106	Paciente de 19 años de edad, sin antecedentes de interés, que consulta por tumoración ligeramente dolorosa en el testículo derecho, de unos 8 meses de evolución, encontrándose en la exploración clínica un aumento testicular con zonas nodulares.	C0030193	Dolor, no especificado	R52	ICD10CM_SPA	True
ES100050	calcificaciones	C0006663	510	525	Ecográficamente se observan tres nódulos tumorales independientes y bien delimitados: dos de ellos heterogéneos, sólidos, de 20 y 33 mm de diámetros, con áreas quísticas y calcificaciones.	C0006663	Otros trastornos del metabolismo del calcio	E83.59	SNOMEDCT2ICD10_SPA	True
ES100050	carcinoma embrionario	C0206659	863	884	Histológicamente los dos primeros nódulos correspondían a teratocarcinomas (teratoma maduro y carcinoma embrionario predominante), siendo macroscópicamente masas pardo-blanquecinas, con cavidades de contenido seroso amarillento, calcificaciones y focos de necrosis.	C0206659	Otros carcinomas especificados de hígado	C22.7	ICD10CM_WIKI	True
ES100050	masas	C0577559	925	930	Histológicamente los dos primeros nódulos correspondían a teratocarcinomas (teratoma maduro y carcinoma embrionario predominante), siendo macroscópicamente masas pardo-blanquecinas, con cavidades de contenido seroso amarillento, calcificaciones y focos de necrosis.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100050	calcificaciones	C0006663	998	1013	Histológicamente los dos primeros nódulos correspondían a teratocarcinomas (teratoma maduro y carcinoma embrionario predominante), siendo macroscópicamente masas pardo-blanquecinas, con cavidades de contenido seroso amarillento, calcificaciones y focos de necrosis.	C0006663	Otros trastornos del metabolismo del calcio	E83.59	SNOMEDCT2ICD10_SPA	True
ES100050	necrosis	C0151799	1025	1033	Histológicamente los dos primeros nódulos correspondían a teratocarcinomas (teratoma maduro y carcinoma embrionario predominante), siendo macroscópicamente masas pardo-blanquecinas, con cavidades de contenido seroso amarillento, calcificaciones y focos de necrosis.	C0151799	Gangrena, no clasificada bajo otro concepto	I96	SNOMEDCT2ICD10_SPA	True
ES100050	seminoma	C0036631	1069	1077	El tercero fué diagnosticado como seminoma clásico, siendo más homogéneo macroscópicamente.	C0036631	Neoplasia maligna de testículo no especificado, sin especificar si descendido o no descendido	C62.90	SNOMEDCT2ICD10_SPA	True
ES100051	prostatismo	C0242453	167	178	Paciente varón de 67 años, sin antecedentes de interés, que acude a consulta de urología por primera vez, derivado por su médico de atención primaria, por síntomas de prostatismo.	C0242453	Hiperplasia prostática benigna sin síntomas de tracto urinario inferior	N40.0	SNOMEDCT2ICD10_SPA	True
ES100051	calcificaciones	C0006663	356	371	En la ecografia transrectal se observa un parénquima heterogéneo, con calcificaciones aisladas en lóbulo derecho, sin objetivarse imágenes hipoecoicas y con un volumen prostático de 101,7 c.c.	C0006663	Otros trastornos del metabolismo del calcio	E83.59	SNOMEDCT2ICD10_SPA	True
ES100051	elevación de PSA	C0178415	496	512	En los análisis, elevación de PSA (13,08 ng/ml.).	C0178415	Antígeno prostático específico [PSA] elevado	R97.20	ICD10CM_SPA	True
ES100051	nevus azul	C0206736	645	655	El resultado de la anatomía patológica fue informado como nevus azul prostático.	C0206736	Otros tipos de neoplasia benigna de piel, localización no especificada	D23.9	SNOMEDCT2ICD10_SPA	True
ES100051	reacción granulomatosa	C0018188	731	753	Se describe un parénquima prostático con inflamación crónica y reacción granulomatosa de tipo cuerpo extraño, con presencia de gránulos intracitoplásmicos y melanocitos fusiformes dendríticos..	C0018188	Trastornos granulomatosos de la piel y del tejido subcutáneo	L92	ICD10_WIKI	True
ES100051	malignidad	C0006826	882	892	No hay evidencia de malignidad en ninguna de las muestras.	C0006826	Neoplasia maligna de localización no especificada	C80	ICD10CM_SPA	True
ES100063	dolor en hipocondrio derecho	C0578057	75	103	Mujer de 58 años de edad que es estudiada por el Servicio de digestivo por dolor en hipocondrio derecho de 6 meses de evolución, acompañándose de alteración del hábito intestinal.	C0578057	Dolor en cuadrante superior derecho	R10.11	SNOMEDCT2ICD10_SPA	True
ES100063	obesidad	C0028754	329	337	A la exploración física impresiona de buen estado general, normohidratada y normocoloreada y con obesidad moderada.	C0028754	Obesidad, no especificada	E66.9	ICD10CM_SPA	True
ES100063	virilización	C0042755	392	404	No existe hábito cushingoide ni estigmas de virilización.	C0042755	Trastorno adrenogenital, no especificado	E25.9	SNOMEDCT2ICD10_SPA	True
ES100063	masas	C0577559	570	575	El abdomen es globuloso, blando y depresible, dificultando la palpación de posibles masas u organomegalias, mostrando leve dolor a la presión profunda en hipocondrio derecho, no presentando signo de Murphy.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100063	organomegalias	C4075263	578	592	El abdomen es globuloso, blando y depresible, dificultando la palpación de posibles masas u organomegalias, mostrando leve dolor a la presión profunda en hipocondrio derecho, no presentando signo de Murphy.	C4075263	Tumefacción, masa y bulto intraabdominales y pélvicos, localización no especificada	R19.00	SNOMEDCT2ICD10_SPA	True
ES100063	leve dolor	C0278138	604	614	El abdomen es globuloso, blando y depresible, dificultando la palpación de posibles masas u organomegalias, mostrando leve dolor a la presión profunda en hipocondrio derecho, no presentando signo de Murphy.	C0278138	Dolor, no especificado	R52	SNOMEDCT2ICD10_SPA	True
ES100063	signo de Murphy	C0277977	676	691	El abdomen es globuloso, blando y depresible, dificultando la palpación de posibles masas u organomegalias, mostrando leve dolor a la presión profunda en hipocondrio derecho, no presentando signo de Murphy.	C0277977	Otros síntomas y signos especificos que afectan al sistema digestivo y el abdomen	R19.8	SNOMEDCT2ICD10_SPA	True
ES100063	tumoración	C0577559	917	927	La ecografía demuestra la presencia de una tumoración en el área suprarrenal derecha de aproximadamente 6x6 cm.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100063	metástasis hepáticas	C0563490	1001	1021	No se observan metástasis hepáticas.	C0563490	Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas	C78.7	SNOMEDCT2ICD10_SPA	True
ES100063	masa	C0577559	1043	1047	La TAC confirma la masa referida, en íntimo contacto con la pared de vena cava inferior a la que aparentemente desplaza, sin poder descartarse infiltración de la misma.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100063	masa suprarrenal	C0342500	1584	1600	Con el diagnóstico de masa suprarrenal se decide intervención, que se lleva a cabo a través de una incisión subcostal derecha transperitoneal.	C0342500	Otros tipos de tumefacción, masa y bulto intraabdominal y pélvico	R19.09	SNOMEDCT2ICD10_SPA	True
ES100063	tumoración	C0577559	1776	1786	Se aborda la región suprarrenal derecha, evidenciándose una voluminosa tumoración a dicho nivel.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100063	masa	C0577559	2027	2031	Se inicia la disección de la misma, no hallándose plano de separación en la zona de contacto con la pared lateral y posterior de vena cava, por lo que se decide exéresis de la misma tras control venoso proximal y distal a la masa y con sutura con polipropileno de la pared de la vena cava inferior.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100063	necrosis	C0151799	2755	2763	Existen zonas de necrosis intratumoral e invasión de tejido suprarrenal presente en área periférica.	C0151799	Gangrena, no clasificada bajo otro concepto	I96	SNOMEDCT2ICD10_SPA	True
ES100063	LEIOMIOSARCOMA	C0023269	2872	2886	El diagnóstico definitivo es de LEIOMIOSARCOMA DE CAVA.	C0023269	Neoplasia maligna de tejido conjuntivo y tejidos blandos, no especificada	C49.9	SNOMEDCT2ICD10_SPA	True
ES100064	disestesia facial	C3697179	50	67	Varón de 64 años que consultó en mayo de 2006 por disestesia facial y ptosis palpebral izquierda y proptosis del globo ocular del mismo lado.	C3697179	Otras alteraciones de la sensibilidad cutánea	R20.8	SNOMEDCT2ICD10_SPA	True
ES100064	ptosis palpebral izquierda	C2143081	70	96	Varón de 64 años que consultó en mayo de 2006 por disestesia facial y ptosis palpebral izquierda y proptosis del globo ocular del mismo lado.	C2143081	Ptosis no especificada de párpado, ojo izquierdo	H02.402	SNOMEDCT2ICD10_SPA	True
ES100064	hipertensión arterial	C0020538	170	191	Antecedentes personales de hipertensión arterial en tratamiento médico, intervenido de ulcus duodenal 20 años antes, y de poliposis laríngea en dos ocasiones en 1993 y 1994.	C0020538	Hipertensión esencial (primaria)	I10	ICD10CM_SPA	True
ES100064	ulcus duodenal	C0013295	230	244	Antecedentes personales de hipertensión arterial en tratamiento médico, intervenido de ulcus duodenal 20 años antes, y de poliposis laríngea en dos ocasiones en 1993 y 1994.	C0013295	Úlcera duodenal, no especificada como aguda ni como crónica, sin hemorragia ni perforación	K26.9	SNOMEDCT2ICD10_SPA	True
ES100064	poliposis	C0013295	265	274	Antecedentes personales de hipertensión arterial en tratamiento médico, intervenido de ulcus duodenal 20 años antes, y de poliposis laríngea en dos ocasiones en 1993 y 1994.	C0013295	Úlcera duodenal, no especificada como aguda ni como crónica, sin hemorragia ni perforación	K26.9	SNOMEDCT2ICD10_SPA	True
ES100064	adenocarcinoma prostático	C0007112	335	360	Diagnosticado de adenocarcinoma prostático mediante biopsia ecodirigida en septiembre de 2005, con PSA de 794, fosfatasas alcalinas de 870, y con rastreo óseo que evidenció múltiples metástasis óseas.	C0007112	Neoplasia maligna de próstata	C61	SNOMEDCT2ICD10_SPA	True
ES100064	metástasis óseas	C0153690	501	517	Diagnosticado de adenocarcinoma prostático mediante biopsia ecodirigida en septiembre de 2005, con PSA de 794, fosfatasas alcalinas de 870, y con rastreo óseo que evidenció múltiples metástasis óseas.	C0153690	Neoplasia maligna secundaria de hueso	C79.51	ICD10CM_SPA	True
ES100064	adormecimiento facial derecho	C4543254	752	781	Días antes del ingreso refería adormecimiento facial derecho desde el pómulo hasta el labio superior, y simultáneamente ptosis palpebral izquierda junto a protrusión ocular.	C4543254	Debilidad facial	R29.810	SNOMEDCT2ICD10_SPA	True
ES100064	ptosis palpebral izquierda	C2143081	841	867	Días antes del ingreso refería adormecimiento facial derecho desde el pómulo hasta el labio superior, y simultáneamente ptosis palpebral izquierda junto a protrusión ocular.	C2143081	Ptosis no especificada de párpado, ojo izquierdo	H02.402	SNOMEDCT2ICD10_SPA	True
ES100064	diplopía	C0012569	907	915	No aquejaba diplopía, dolor facial ni ocular.	C0012569	Diplopía	H53.2	SNOMEDCT2ICD10_SPA	True
ES100064	dolor facial ni ocular	C0151827	917	939	No aquejaba diplopía, dolor facial ni ocular.	C0151827	Dolor ocular, ojo no especificado 	H57.10	ICD10CM_SPA	True
ES100064	dolor facial	C0015468	917	929	No aquejaba diplopía, dolor facial ni ocular.	C0015468	Cefalea, no especificada	R51.9	ICD10CM_SPA	True
ES100064	ptosis palpebral izquierda	C2143081	1035	1061	En la exploración física el paciente estaba consciente, orientado y colaborador, presentando ptosis palpebral izquierda con salida del ojo del mismo lado, sin soplo aparente, con paresia del III y VI pares izquierdos.	C2143081	Ptosis no especificada de párpado, ojo izquierdo	H02.402	SNOMEDCT2ICD10_SPA	True
ES100064	paresia	C0427055	1121	1128	En la exploración física el paciente estaba consciente, orientado y colaborador, presentando ptosis palpebral izquierda con salida del ojo del mismo lado, sin soplo aparente, con paresia del III y VI pares izquierdos.	C0427055	Debilidad facial	R29.810	SNOMEDCT2ICD10_SPA	True
ES100064	alteraciones en la sensibilidad de la mitad derecha de la cara	C0239517	1180	1242	Asimismo presentaba alteraciones en la sensibilidad de la mitad derecha de la cara, siendo el resto de la exploración neurológica motora y sensitiva normal.	C0239517	Parestesias	R20.2	SNOMEDCT2ICD10_SPA	True
ES100064	lesiones isquémicas	C0349419	1489	1508	Se realizó RMN cerebral y angio RMN que demostraron lesiones isquémicas supratentoriales y masa orbitaria de localización extraconal pegada a techo orbitario izquierdo que desplaza y engloba caudalmente el músculo recto superior, a la vez que existe una ocupación del seno frontal izquierdo por una masa de iguales características a la descrita.	C0349419	Otros trastornos de aparato circulatorio	I99.8	SNOMEDCT2ICD10_SPA	True
ES100064	masa	C0577559	1528	1532	Se realizó RMN cerebral y angio RMN que demostraron lesiones isquémicas supratentoriales y masa orbitaria de localización extraconal pegada a techo orbitario izquierdo que desplaza y engloba caudalmente el músculo recto superior, a la vez que existe una ocupación del seno frontal izquierdo por una masa de iguales características a la descrita.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100064	ocupación del seno frontal	C0345672	1691	1717	Se realizó RMN cerebral y angio RMN que demostraron lesiones isquémicas supratentoriales y masa orbitaria de localización extraconal pegada a techo orbitario izquierdo que desplaza y engloba caudalmente el músculo recto superior, a la vez que existe una ocupación del seno frontal izquierdo por una masa de iguales características a la descrita.	C0345672	Neoplasia de comportamiento no especificado de aparato respiratorio	D49.1	SNOMEDCT2ICD10_SPA	True
ES100064	masa	C0577559	1736	1740	Se realizó RMN cerebral y angio RMN que demostraron lesiones isquémicas supratentoriales y masa orbitaria de localización extraconal pegada a techo orbitario izquierdo que desplaza y engloba caudalmente el músculo recto superior, a la vez que existe una ocupación del seno frontal izquierdo por una masa de iguales características a la descrita.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100064	obliteración de la grasa	C0015668	1871	1895	La obliteración de la grasa de la grasa extraconal superior condiciona desplazamiento inferior y proptosis ocular.	C0015668	Otros trastornos especificados de tejidos blandos	M79.89	SNOMEDCT2ICD10_SPA	True
ES100064	proptosis	C0015300	1965	1974	La obliteración de la grasa de la grasa extraconal superior condiciona desplazamiento inferior y proptosis ocular.	C0015300	Exoftalmos no especificado	H05.20	ICD10CM_SPA	True
ES100064	masa	C0577559	2003	2007	Asimismo existe una masa expansiva localizada en seno maxilar derecho que rompe la pared lateral extendiéndose hacia partes blandas, provocando interrupción del suelo de la órbita derecha e invasión del espacio extraconal inferior, desplazando sin invadirlo, el músculo recto inferior.	C0577559	Tumefacción, masa y bulto localizados, no especificados	R22.9	SNOMEDCT2ICD10_SPA	True
ES100064	adenocarcinoma prostático	C0007112	2513	2538	Se diagnosticó de metástasis de adenocarcinoma prostático en seno maxilar derecho y seno frontal izquierdo, con afectación orbitaria extraconal inferior derecha y superior izquierda.	C0007112	Neoplasia maligna de próstata	C61	SNOMEDCT2ICD10_SPA	True
