file_id	id	entity	offset	note	CUI	sentence	CODE	STR	SAB
0024_d218	T6	fallo renal agudo	70 87	C1565662, Acute Kidney Insufficiency, Disease or Syndrome ,DISO	C1565662	Se ha observado un incremento en los niveles de creatinina sérica y/o fallo renal agudo.	N28.9	Trastorno del riñón y del uréter, no especificado	SNOMEDCT2ICD10_SPA
0026_d691	T7	deterioro de la función renal	11 40	C1278220, Deteriorating renal function, Laboratory or Test Result ,PHEN	C1278220	En caso de deterioro de la función renal, debe suspenderse el tratamiento con Lisonorm y debe sustituirse por la administración de sus componentes individuales adecuadamente ajustados.	N28.9	Trastorno del riñón y del uréter, no especificado	SNOMEDCT2ICD10_SPA
0027_d691	T6	anemia aplásica	42 57	C0002874, Aplastic Anemia, Disease or Syndrome ,DISO	C0002874	- reducción de la producción de hematíes (anemia aplásica)	D61.9	Anemia aplásica, no especificada	ICD10CM_WIKI
0028_d459	T9	dependencia	53 64	C0439857, Dependence, Mental or Behavioral Dysfunction ,DISO	C0439857	Aunque no existe una evidencia clara de aparición de dependencia en pacientes que reciben oxibato de sodio a dosis terapéuticas no se puede excluir esta posibilidad.	F10.2	Dependencia de alcohol	ICD10_WIKI
0029_d231	T9	sobredosis	11 21	C0029944, overdose, Injury or Poisoning ,DISO	C0029944	En caso de sobredosis, se deberá realizar un seguimiento y tratamiento de la presión intraocular, si el médico lo considera necesario.	T36	Envenenamiento, efecto adverso e infradosificación de antibióticos sistémicos	ICD10_WIKI
0030_d101	T19	enfermedad	71 81	C0221423, Illness (finding), Finding ,DISO	C0221423	Es necesario posponer la administración en pacientes que presenten una enfermedad transitoria que afecte al estómago o al intestino o que tengan fiebre.	B34.9	Infección viral, no especificada	SNOMEDCT2ICD10_SPA
0030_d101	T24	fiebre	145 151	C0015967, Fever, Finding ,DISO	C0015967	Es necesario posponer la administración en pacientes que presenten una enfermedad transitoria que afecte al estómago o al intestino o que tengan fiebre.	P81.9	Alteración de la regulación de la temperatura del recién nacido, no especificada	SNOMEDCT2ICD10_SPA
0031_d61	T19	picor	140 145	C0033774, Pruritus, Sign or Symptom ,DISO	C0033774	Se han comunicado posibles síntomas mediados por la histamina, incluyendo informes de manchas en la piel, hinchazón de la cara y/ o labios, picor, sensación de ardor o problemas al respirar.	L29	Prurito	ICD10_WIKI
0031_d61	T24	problemas al respirar	168 189	C0013404, Dyspnea, Sign or Symptom ,DISO	C0013404	Se han comunicado posibles síntomas mediados por la histamina, incluyendo informes de manchas en la piel, hinchazón de la cara y/ o labios, picor, sensación de ardor o problemas al respirar.	R06.0	Disnea	ICD10_WIKI
0031_d61	T43	hinchazón de labios	106 118;132 138	C0240211, Lip swelling, Sign or Symptom, DISO	C0240211	Se han comunicado posibles síntomas mediados por la histamina, incluyendo informes de manchas en la piel, hinchazón de la cara y/ o labios, picor, sensación de ardor o problemas al respirar.	K13.0	Enfermedades de los labios	SNOMEDCT2ICD10_SPA
0031_d61	T23	hinchazón de la cara	106 126	C0151602, Facial swelling, Finding, DISO	C0151602	Se han comunicado posibles síntomas mediados por la histamina, incluyendo informes de manchas en la piel, hinchazón de la cara y/ o labios, picor, sensación de ardor o problemas al respirar.	R22.0	Tumefacción, masa o bulto localizados en la cabeza	SNOMEDCT2ICD10_SPA
0033_d353	T19	Neumonía	0 8	C0032285, Pneumonia, Disease or Syndrome ,DISO	C0032285	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	J18.9	Neumonía, microorganismo no especificado	ICD10_WIKI
0033_d353	T20	herpes zóster	50 63	C0019360, Herpes zoster disease, Disease or Syndrome ,DISO	C0019360	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	B02	Herpes zóster	ICD10CM_WIKI
0033_d353	T21	Herpes simplex	65 79	C0019348, Herpes Simplex Infections, Disease or Syndrome ,DISO	C0019348	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	B00	Infecciones por herpesvirus [herpes simple]	ICD10CM_WIKI
0033_d353	T22	infección de vías respiratorias altas	110 147	C0041912, Upper Respiratory Infections, Disease or Syndrome ,DISO	C0041912	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	J06.9	Infección respiratoria aguda del tracto respiratorio superior, no especificada	SNOMEDCT2ICD10_SPA
0033_d353	T23	sinusitis	149 158	C0037199, Sinusitis, Disease or Syndrome ,DISO	C0037199	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	J01	Sinusitis aguda	ICD10CM_WIKI
0033_d353	T24	candidiasis oral	160 176	C0006849, Oral candidiasis, Disease or Syndrome ,DISO	C0006849	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	B37.0	Estomatitis candidiásica	ICD10CM_WIKI
0033_d353	T25	infección de vías respiratorias bajas	11 48	C0149725, Lower respiratory tract infection, Disease or Syndrome ,DISO	C0149725	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	J22	Infección aguda del tracto respiratorio inferior, no especificada	SNOMEDCT2ICD10_SPA
0033_d353	T26	infección de vías urinarias	81 108	C0042029, Urinary tract infection, Disease or Syndrome ,DISO	C0042029	Neumonía*, infección de vías respiratorias bajas, herpes zóster, Herpes simplex, infección de vías urinarias, infección de vías respiratorias altas, sinusitis, candidiasis oral, infección micótica oral	N30.0	Cistitis aguda	ICD10CM_WIKI
0034_d353	T20	análisis de sangre	110 128	C0702196, Blood investigation, Laboratory Procedure ,PROC	C0702196	Su médico puede ajustar la dosis de Revlimid o interrumpir su tratamiento, basándose en los resultados de sus análisis de sangre y de su estado general (ver sección 2, “Tenga especial cuidado con Revlimid”).	Z75.2	Otro tipo de período de espera para investigación y tratamiento	SNOMEDCT2ICD10_SPA
0035_d320	T32	escalofríos	127 138	C0085593, Chills, Sign or Symptom ,DISO	C0085593	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	P81.9	Alteración de la regulación de la temperatura del recién nacido, no especificada	SNOMEDCT2ICD10_SPA
0035_d320	T33	cefalea	140 147	C0018681, Headache, Sign or Symptom ,DISO	C0018681	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	R51	Cefalea	ICD10_WIKI
0035_d320	T34	fiebre	149 155	C0015967, Fever, Finding ,DISO	C0015967	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	P81.9	Alteración de la regulación de la temperatura del recién nacido, no especificada	SNOMEDCT2ICD10_SPA
0035_d320	T35	vómitos	157 164	C0042963, Vomiting, Sign or Symptom ,DISO	C0042963	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	R11.10	Vómitos, no especificados	SNOMEDCT2ICD10_SPA
0035_d320	T36	náuseas	188 195	C0027497, Nausea, Sign or Symptom ,DISO	C0027497	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	R11.0	Náuseas	SNOMEDCT2ICD10_SPA
0035_d320	T37	artralgia	197 206	C0003862, Arthralgia, Sign or Symptom ,DISO	C0003862	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	M25.5	Dolor en articulación	ICD10_WIKI
0035_d320	T38	hipotensión arterial	208 228	C0020649, Hypotension, Finding ,DISO	C0020649	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	I95	Hipotensión	ICD10_WIKI
0035_d320	T39	lumbalgia	231 240	C0024031, Low Back Pain, Sign or Symptom ,DISO	C0024031	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	M54.5	Dolor en la parte inferior de la espalda	ICD10_WIKI
0035_d320	T42	reacciones alérgicas	166 186	C1527304, Allergic Reaction, Pathologic Function ,DISO	C1527304	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	T78.40	Alergia no especificada	ICD10CM_SPA
0035_d320	T16	reacciones alérgicas	166 186	C0020517, Hypersensitivity, Pathologic Function, DISO	C0020517	Con la inmunoglobulina humana normal para administración intravenosa pueden producirse, en ocasiones, reacciones adversas como escalofríos, cefalea, fiebre, vómitos, reacciones alérgicas, náuseas, artralgia, hipotensión arterial y lumbalgia moderada.	T78.40	Alergia no especificada	ICD10CM_SPA
0040_d226	T29	insuficiencia renal	178 197	C1565489, Renal Insufficiency, Disease or Syndrome ,DISO	C1565489	Tal como ocurre con todas las insulinas, es necesario intensificar el control glucémico y ajustar individualmente la dosis de insulina detemir en personas mayores y personas con insuficiencia renal o hepática.	N19	Insuficiencia renal no especificada	ICD10CM_WIKI
0040_d226	T32	personas mayores	146 162	C0001792, Elderly (population group), Population Group ,LIVB	C0001792	Tal como ocurre con todas las insulinas, es necesario intensificar el control glucémico y ajustar individualmente la dosis de insulina detemir en personas mayores y personas con insuficiencia renal o hepática.	R54	Debilidad física relacionada con edad	SNOMEDCT2ICD10_SPA
0040_d226	T33	insuficiencia hepática	178 191;200 208	C1306571, Hepatic Insufficiency, Pathologic Function ,DISO	C1306571	Tal como ocurre con todas las insulinas, es necesario intensificar el control glucémico y ajustar individualmente la dosis de insulina detemir en personas mayores y personas con insuficiencia renal o hepática.	K72.9	Insuficiencia hepática, no especificada	ICD10_WIKI
0040_d226	T56	personas mayores	146 162	C1999167, Old age, Finding ,DISO	C1999167	Tal como ocurre con todas las insulinas, es necesario intensificar el control glucémico y ajustar individualmente la dosis de insulina detemir en personas mayores y personas con insuficiencia renal o hepática.	R54	Debilidad física relacionada con edad	SNOMEDCT2ICD10_SPA
0040_d226	T21	insuficiencia hepática	178 191;200 208	C0085605, Liver Failure, Disease or Syndrome, DISO	C0085605	Tal como ocurre con todas las insulinas, es necesario intensificar el control glucémico y ajustar individualmente la dosis de insulina detemir en personas mayores y personas con insuficiencia renal o hepática.	K72.9	Insuficiencia hepática, no especificada	ICD10_WIKI
0040_d226	T58	insuficiencia renal	178 197	C0035078, Kidney Failure, Disease or Syndrome, DISO	C0035078	Tal como ocurre con todas las insulinas, es necesario intensificar el control glucémico y ajustar individualmente la dosis de insulina detemir en personas mayores y personas con insuficiencia renal o hepática.	N19	Insuficiencia renal no especificada	ICD10CM_WIKI
0046_d110	T22	arterias coronarias obstruidas	84 103;135 145	C0242231, Coronary Stenosis, Disease or Syndrome ,DISO	C0242231	La intervención coronaria percutánea es una operación realizada para desatascar las arterias coronarias (vasos sanguíneos del corazón) obstruidas.	I25.10	Enfermedad cardiaca aterosclerótica de arteria coronaria nativa sin angina de pecho	SNOMEDCT2ICD10_SPA
0048_d346	T11	hipotensión ortostática	75 98	C0020651, Hypotension, Orthostatic, Finding ,DISO	C0020651	En un ensayo clínico realizado en voluntarios sanos se observaron casos de hipotensión ortostática asociada con una dosis de 0,64 mg/ kg administrada como bolo intravenoso.	G90.3	Degeneración multisistémica del sistema nervioso autónomo	ICD10CM_WIKI
0053_d393	T27	cáncer	54 60	C0006826, Malignant Neoplasms, Neoplastic Process ,DISO	C0006826	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C80.1	Neoplasia maligna (primaria), no especificada	ICD10CM_WIKI
0053_d393	T28	cáncer	54 60	C1306459, Primary malignant neoplasm, Finding ,DISO	C1306459	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C80.1	Neoplasia maligna (primaria), no especificada	SNOMEDCT2ICD10_SPA
0053_d393	T31	cáncer de mama	224 238	C0006142, Malignant neoplasm of breast, Neoplastic Process ,DISO	C0006142	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C50.919	Neoplasia maligna de localización no especificada de mama femenina, lado no especificado	SNOMEDCT2ICD10_SPA
0053_d393	T32	cáncer de mama	224 238	C0678222, Breast Carcinoma, Neoplastic Process ,DISO	C0678222	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C50.919	Neoplasia maligna de localización no especificada de mama femenina, lado no especificado	SNOMEDCT2ICD10_SPA
0053_d393	T33	cáncer de próstata	273 291	C0376358, Malignant neoplasm of prostate, Neoplastic Process ,DISO	C0376358	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C61	Neoplasia maligna de próstata	ICD10CM_WIKI
0053_d393	T34	adenocarcinoma gástrico	293 316	C0278701, Gastric Adenocarcinoma, Neoplastic Process ,DISO	C0278701	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C16.9	Neoplasia maligna de estómago, no especificada	SNOMEDCT2ICD10_SPA
0053_d393	T35	cáncer de cabeza y cuello)	319 345	C0278996, Cancer of Head and Neck, Neoplastic Process ,DISO	C0278996	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C76.0	Neoplasia maligna de cabeza, cara y cuello	SNOMEDCT2ICD10_SPA
0053_d393	T36	cáncer de próstata	273 291	C0600139, Prostate carcinoma, Neoplastic Process ,DISO	C0600139	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C61	Neoplasia maligna de próstata	SNOMEDCT2ICD10_SPA
0053_d393	T37	cáncer de pulmón no microcítico	240 271	C0007131, Non-Small Cell Lung Carcinoma, Neoplastic Process ,DISO	C0007131	La adición de TAXOTERE a otros tratamientos contra el cáncer produjo aumentos significativos de la tasa de respuesta, del tiempo hasta la progresión de la enfermedad o del tiempo de supervivencia en cinco tipos de cánceres (cáncer de mama, cáncer de pulmón no microcítico, cáncer de próstata, adenocarcinoma gástrico y cáncer de cabeza y cuello).	C34	Neoplasia maligna de bronquio y pulmón	ICD10CM_WIKI
0055_d213	T10	insuficiencia renal	53 72	C1565489, Renal Insufficiency, Disease or Syndrome ,DISO	C1565489	3 Ajuste de la dosificación en pacientes adultos con insuficiencia renal	N19	Insuficiencia renal no especificada	ICD10CM_WIKI
0058_d16	T20	incapaces de tragar	29 48	C0221470, Aphagia, Finding ,DISO	C0221470	Pacientes a partir de 4 años incapaces de tragar las cápsulas de Agenerase: la dosis recomendada de la solución oral de Agenerase es de 17 mg (1,1 ml)/ kg tres veces al día, en combinación con otros antirretrovirales, sin exceder una dosis total diaria de 2800 mg.	R13.0	Afagia	ICD10CM_SPA
0074_d219	T18	se reduce el número de glóbulos rojos	3 40	C0302085, Decreased erythrocyte production, Pathologic Function ,DISO	C0302085	Si se reduce el número de glóbulos rojos usted puede presentar síntomas de cansancio o dificultad respiratoria.	R71.8	Otras anomalías de los hematíes	SNOMEDCT2ICD10_SPA
0074_d219	T4	dificultad respiratoria	87 110	C0013404, Dyspnea, Sign or Symptom ,DISO	C0013404	Si se reduce el número de glóbulos rojos usted puede presentar síntomas de cansancio o dificultad respiratoria.	R06.0	Disnea	ICD10_WIKI
0074_d219	T7	cansancio	75 84	C0015672, Fatigue, Sign or Symptom ,DISO	C0015672	Si se reduce el número de glóbulos rojos usted puede presentar síntomas de cansancio o dificultad respiratoria.	R54	Debilidad física relacionada con edad	SNOMEDCT2ICD10_SPA
0076_d321	T39	fiebre	41 47	C0015967, Fever, Finding ,DISO	C0015967	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	P81.9	Alteración de la regulación de la temperatura del recién nacido, no especificada	SNOMEDCT2ICD10_SPA
0076_d321	T40	anorexia	49 57	C0003123, Anorexia, Disease or Syndrome ,DISO	C0003123	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R63.0	Anorexia	ICD10_WIKI
0076_d321	T41	pérdida del apetito	59 78	C1971624, Loss of appetite (finding), Finding|Disease or Syndrome ,DISO	C1971624	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R63.0	Anorexia	SNOMEDCT2ICD10_SPA
0076_d321	T42	vómitos	81 88	C0042963, Vomiting, Sign or Symptom ,DISO	C0042963	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R11.10	Vómitos, no especificados	SNOMEDCT2ICD10_SPA
0076_d321	T43	diarrea	90 97	C0011991, Diarrhea, Sign or Symptom ,DISO	C0011991	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R11.10	Vómitos, no especificados	SNOMEDCT2ICD10_SPA
0076_d321	T44	irritabilidad	99 112	C0022107, Irritable Mood, Finding ,DISO	C0022107	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R68.12	Bebé irritable	SNOMEDCT2ICD10_SPA
0076_d321	T45	somnolencia	114 125	C2830004, Somnolence, Finding ,DISO	C2830004	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R40.0	Somnolencia	ICD10_WIKI
0076_d321	T46	somnolencia	114 125	C0013144, Drowsiness, Finding ,DISO	C0013144	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R40.0	Somnolencia	ICD10_WIKI
0076_d321	T48	llanto	135 141	C0424109, Weepiness, Finding ,DISO	C0424109	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R45.89	Otros síntomas y signos que afectan al estado emocional	SNOMEDCT2ICD10_SPA
0076_d321	T49	llanto	198 204	C0424109, Weepiness, Finding ,DISO	C0424109	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	R45.89	Otros síntomas y signos que afectan al estado emocional	SNOMEDCT2ICD10_SPA
0076_d321	T50	otitis media	219 231	C0029882, Otitis Media, Disease or Syndrome ,DISO	C0029882	Otros efectos secundarios frecuentes son fiebre, anorexia (pérdida del apetito), vómitos, diarrea, irritabilidad, somnolencia (sueño), llanto (incluido un llanto de tono muy alto poco habitual y el llanto prolongado) y otitis media (infección del oído medio).	H66.9	Otitis media, no especificada	ICD10CM_WIKI
